"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"MY_000068",NA,NA,"Sincerin_68","MAYAGÜEZ","Candelaria","Cabuyal","3.3318, -76.3331","Alerta Boletín Histórico","2"
"MY_000069",NA,NA,"Calamar_69","MAYAGÜEZ","Candelaria","Cabuyal","3.2898, -76.3653","Alerta Boletín Histórico","2"
"MY_000070",NA,NA,"Primavera_70","MAYAGÜEZ","Candelaria","El Lauro","3.4467, -76.3888","Alerta Boletín Histórico","4"
"MY_000074",NA,NA,"La Guaca_74","MAYAGÜEZ","Candelaria","Arenal","3.3971, -76.3632","Alerta Boletín Histórico","4"
"MY_000078",NA,NA,"Caideal_78","MAYAGÜEZ","Candelaria","Madrevieja","3.4081, -76.3392","Alerta Inminente","4, 5, 7"
"MY_000088",NA,NA,"El Palmar_88","MAYAGÜEZ","Candelaria","El Lauro","3.4734, -76.4163","Alerta Inminente","7"
"MY_000094",NA,NA,"Maloya_94","MAYAGÜEZ","Candelaria","Arenal","3.3967, -76.3504","Alerta Inminente + Focalización Operativa + Top 10 Regional","6, 7"
"MY_000103",NA,NA,"Villa Patricia_103","MAYAGÜEZ","Pradera","La Tupia","3.4012, -76.3115","Alerta Inminente + Focalización Operativa","7"
"MY_000104",NA,NA,"El Rhin_104","MAYAGÜEZ","Florida","San Antonio de los Caballeros","3.3463, -76.2991","Alerta Inminente","7"
"MY_000110",NA,NA,"ChumbA?m_110","MAYAGÜEZ","Pradera","Bolo - Hartonal","3.4143, -76.2678","Alerta Boletín Histórico","3, 4"
"MY_000112",NA,NA,"El Convenio_112","MAYAGÜEZ","Palmira","Bolo - Alizal","3.491, -76.3303","Alerta Inminente","7"
"MY_000114",NA,NA,"Cantarrana_114","MAYAGÜEZ","Palmira","Caucaseco","3.4694, -76.4513","Alerta Inminente","6, 7"
"MY_000116",NA,NA,"La Guaira_116","MAYAGÜEZ","Pradera","La Tupia","3.4274, -76.2944","Alerta Inminente + Focalización Operativa","7"
"MY_000121",NA,NA,"La Troya_121","MAYAGÜEZ","Candelaria","Arenal","3.3917, -76.3601","Alerta Inminente + Focalización Operativa + Top 10 Regional","6, 7"
"MY_000128",NA,NA,"Santa MarA!a_128","MAYAGÜEZ","Candelaria","El Lauro","3.4338, -76.354","Alerta Inminente","6, 7"
"MY_000133",NA,NA,"California Bolo_133","MAYAGÜEZ","Palmira","Bolo - San Isidro","3.4688, -76.3412","Alerta Inminente","3, 4, 7"
"MY_000134",NA,NA,"San Josa?s_134","MAYAGÜEZ","Candelaria","San Joaquin","3.3951, -76.4236","Alerta Boletín Histórico + Alerta Inminente","5, 6"
"MY_000142",NA,NA,"Rio Fraile (Diego DomA!nguez)_142","MAYAGÜEZ","Candelaria","La Regina","3.3459, -76.3146","Alerta Inminente + Focalización Operativa","7"
"MY_000149",NA,NA,"El Waco_149","MAYAGÜEZ","Palmira","Aguaclara","3.4816, -76.2585","Alerta Boletín Histórico","2"
"MY_000160",NA,NA,"Cosacos_160","MAYAGÜEZ","Candelaria","El Lauro","3.4416, -76.3551","Alerta Boletín Histórico","3, 4"
"MY_000163",NA,NA,"La Generala_163","MAYAGÜEZ","Florida","San Antonio de los Caballeros","3.3494, -76.306","Alerta Inminente","2, 3, 6, 7"
