"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CB000464",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000485",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000496",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000501",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000515",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000522",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000523",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000524",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000525",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000526",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000532",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000533",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000534",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000538",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000540",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000544",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000545",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000561",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000563",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000564",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000594",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000612",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000632",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000638",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000645",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000653",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000668",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000679",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000681",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000683",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000699",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000701",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000722",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000723",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000731",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000829",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000833",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000835",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000837",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000858",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000860",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000863",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000864",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000870",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000883",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000887",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000894",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000897",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000901",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000933",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000953",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000A05",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000A09",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
